id,countryId,countryName,nameEn,nameRu,nameAr
c6c5701b-4f85-52ea-b42e-da880beb01d2,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Internet City","Dubai Internet City","Dubai Internet City"
8d05b117-5a7d-5ffc-877d-730296e67565,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Investment Park","Dubai Investment Park","Dubai Investment Park"
047e16ad-6031-5a16-8da0-869c594d4406,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Islands","Dubai Islands","Dubai Islands"
f386ba23-1d29-5fcc-ba30-3d12061874d9,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Marina","Dubai Marina","Dubai Marina"
3bb373fd-c42a-542b-8e29-edf8297ba010,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Media City","Dubai Media City","Dubai Media City"
3e56cc47-55bb-5693-8842-6a0fd2d81cd1,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Production City","Dubai Production City","Dubai Production City"
63112f42-7547-5a54-a52c-a6ec08d30def,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Silicon Oasis","Dubai Silicon Oasis","Dubai Silicon Oasis"
cfe788fe-273b-5ef9-9199-df1d3e6ac86f,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Sports City","Dubai Sports City","Dubai Sports City"
1b91ed33-1168-5f4c-a830-50b4324bbac8,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Dubai Studio City","Dubai Studio City","Dubai Studio City"
1a15bca2-9b13-5649-9b8f-2f76ed62ce1f,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","International City","International City","International City"
dbfc2428-7907-577f-8409-5b799f575875,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Jabal Ali First","Jabal Ali First","Jabal Ali First"
423b6504-6372-578b-a6c0-8814e96279c9,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Jumeirah","Jumeirah","Jumeirah"
e1b86a85-2fca-5969-85e4-05306d58356b,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Jumeirah Lake Towers (JLT)","Jumeirah Lake Towers (JLT)","Jumeirah Lake Towers (JLT)"
63314efa-4dc2-5928-85c1-ec2d9bf3a911,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Jumeirah Lakes Towers","Jumeirah Lakes Towers","Jumeirah Lakes Towers"
9c3902d0-f5eb-5aab-b7a9-4c3aa68ebf11,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Jumeirah Village Circle (JVC)","Jumeirah Village Circle (JVC)","Jumeirah Village Circle (JVC)"
f783aa97-b04e-5f97-ac31-8ec8a0700b51,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Jumeirah Village Triangle (JVT)","Jumeirah Village Triangle (JVT)","Jumeirah Village Triangle (JVT)"
48b50779-386e-5e5b-89e3-6a78255a643d,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Majan","Majan","Majan"
aed47902-b3b3-53f0-9afb-c04b5cf4e446,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Maritime city","Maritime city","Maritime city"
daf9d6d8-b773-5e85-8ac4-26fb034279aa,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Meydan","Meydan","Meydan"
e400e355-f9c6-55a9-ba6e-3d7b48b42e33,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Mina Rashid","Mina Rashid","Mina Rashid"
52bf34b5-b3d7-53c5-98b5-77d8c07c9357,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Motor City","Motor City","Motor City"
d1e7953b-73bd-57d1-a253-8c86914b9bba,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Palm Jabal Ali","Palm Jabal Ali","Palm Jabal Ali"
9f4f6419-6467-556d-bf1b-f1edc8bd1297,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Port De La Mer","Port De La Mer","Port De La Mer"
96cdaed0-5e36-5d9b-8c15-80377e1c84e6,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","The Dubai International Financial Centre (DIFC)","The Dubai International Financial Centre (DIFC)","The Dubai International Financial Centre (DIFC)"
5031c30a-1f84-5c8f-ae63-93eda0930eed,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Town Square","Town Square","Town Square"
037a5c43-e50b-5afd-b3c2-6456d72f9cdc,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Umm Suqeim","Umm Suqeim","Umm Suqeim"
0af3c943-6560-5b0f-895a-c31777204192,4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Uptown","Uptown","Uptown"
